"id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"15279984","5 Bedroom Period Villa, London, Great for Groups","97081736","Jasmine","Havering","51.61811416","0.22248837","Entire home/apt","200","2","10","19/02/2017","2.08","1","74"
"6475046","Entire apartment in Romford","19792164","Kripa","Havering","51.58032393","0.179724869","Entire home/apt","100","1","34","16/02/2017","1.64","1","61"
"15853456","PRIVAT SELF-CONTAINED STUDIO","102723334","Audrone","Havering","51.59441523","0.215096797","Entire home/apt","30","3","4","21/01/2017","1.02","1","30"
"16002372","Modern1 Bed Flat/Lounge/Kitchen +*Breakfast Coffee","37984661","Mike","Havering","51.59349826","0.215645346","Entire home/apt","67","1","4","03/03/2017","1.56","1","340"
"5294614","Beautiful Private Single Room& wifi","18830903","Lax","Havering","51.57335095","0.179069739","Private room","24","1","79","03/02/2017","3.19","2","326"
"214591","BEAUTIFUL DOUBLE ROOM with EN SUITE (can sleep 3)","879083","Karen","Havering","51.58736162","0.185060215","Private room","37","1","47","03/03/2017","4.02","2","336"
"17351810","Morland House Apartments","113497192","Morland","Havering","51.57546348","0.184522219","Entire home/apt","100","2","0","","-1.0","6","180"
"17351890","Morland House Apartments","113497192","Morland","Havering","51.57675436","0.184345182","Entire home/apt","100","2","0","","-1.0","6","180"
"17236557","Single room in a clean and tidy home","87753383","Angeline","Havering","51.60195192","0.239288631","Private room","25","6","0","","-1.0","3","349"
"447223","15mins frm Centr.London with garden","2220786","Hannelore","Havering","51.57862901","0.170917908","Entire home/apt","100","2","11","21/04/2015","0.25","1","0"
"17230723","Amazing 1 bed flat in Romford town","57413180","Daniel Marques","Havering","51.57931774","0.178232059","Entire home/apt","50","2","1","03/03/2017","1.0","1","285"
"8838008","202 sq m designer home in London","28041621","Julia","Havering","51.59398095","0.23150509","Entire home/apt","280","3","2","30/11/2016","0.12","1","324"
"4061822","LONDON HAROLD 2BED FLAT, SLEEP2-10.","15952625","Lydia","Havering","51.60889976","0.230163723","Entire home/apt","72","3","6","01/04/2016","0.21","34","361"
"16443288","Private room in Flat-share","26557153","Simone","Havering","51.58156682","0.178722583","Private room","29","1","1","16/01/2017","0.61","1","215"
"14207610","Double room in the house with a big garden","58028033","Olga","Havering","51.57339802","0.191426532","Private room","29","1","3","26/01/2017","0.66","1","68"
"11986298","one spare room in a 2 bed flat","48321393","Maryanne","Havering","51.57617966","0.199043739","Private room","20","1","0","","-1.0","1","0"
"13892581","LONDON TURPIN 1 BED FLAT, SLEEPS 2-5.","15952625","Lydia","Havering","51.60625867","0.158708763","Entire home/apt","55","3","0","","-1.0","34","365"
"16732339","Cosy room in London","51484513","Davide","Havering","51.60365322","0.223372405","Private room","46","1","0","","-1.0","1","88"
"16060436","Large double bedroom, 20 mins by train to London","104604196","Joe","Havering","51.52124672","0.209596954","Private room","30","3","0","","-1.0","1","91"
"14811789","STUNNING SPACIOUS DOUBLE ROOM + EN-SUITE SLEEPS 3","879083","Karen","Havering","51.58743595","0.183542687","Private room","43","1","7","02/12/2016","1.2","2","348"
"14505176","The Orchid Bed & Breakfast House","54705539","Christine","Havering","51.58821034","0.169967905","Private room","70","1","0","","-1.0","1","87"
"13042277","Double room near tube station","2158444","Brigitte","Havering","51.55017284","0.191592266","Private room","22","1","12","23/10/2016","1.29","4","322"
"10203906","Double room+Own WC+Free Parking","52422433","Jessie","Havering","51.59274623","0.235949655","Private room","28","1","26","27/01/2017","1.93","1","315"
"17038973","Fantastic room","114332297","Ras","Havering","51.57619782","0.180230424","Private room","30","1","0","","-1.0","1","14"
"13351688","Room close to Romford station.","75696497","Emma","Havering","51.58738278","0.169060079","Private room","30","1","8","30/10/2016","1.08","1","365"
"13043885","Single room close to tube - white room","2158444","Brigitte","Havering","51.55110172","0.192740368","Private room","20","1","8","06/01/2017","0.84","4","266"
"14413206","Lovely double bedroom in Gidea Park","58038569","Nadia","Havering","51.58428775","0.196880445","Private room","35","5","0","","-1.0","1","364"
"6439658","Quite double room £25nt/170wk/650mt","2701693","Jutta","Havering","51.57946662","0.167813878","Private room","25","1","0","","-1.0","2","307"
"10245978","Single room v. near transport/shops","52661341","June","Havering","51.58127299","0.180790234","Private room","18","1","26","25/02/2017","1.88","1","356"
"13423869","lavender Hues","2765975","Tas","Havering","51.5520477","0.200912977","Private room","40","1","0","","-1.0","1","90"
"13472654","A single bedroom in old East London","77079886","Zohra","Havering","51.56246297","0.270885021","Private room","25","1","0","","-1.0","1","89"
"13489571","Single room close to tube - blue room","2158444","Brigitte","Havering","51.55022558","0.192437823","Private room","15","1","7","27/11/2016","0.8","4","238"
"5230342","Lovely room in  Upminster","15828858","Meli","Havering","51.55916007","0.240203896","Private room","45","1","16","18/11/2016","0.66","1","365"
"322550","Very Large & Small Rooms to Rent","445368","Mary","Havering","51.54835271","0.31752292","Private room","50","1","0","","-1.0","3","365"
"7047103","Modern and homely apartment","36949845","Hasmukh","Havering","51.57114603","0.179030493","Private room","30","1","0","","-1.0","1","365"
"12911184","Romford Modern Studio With WiFi","25846655","Jerome","Havering","51.567951","0.172686991","Entire home/apt","49","2","22","28/02/2017","2.37","1","267"
"14939573","Beautiful 5 Bed Cottage - close to station&park","93801579","Bingshu","Havering","51.59017399","0.23605831","Entire home/apt","149","2","10","19/02/2017","2.65","1","51"
"16968009","Morland House Apartments","113497192","Morland","Havering","51.5750871","0.185893127","Entire home/apt","100","2","1","19/02/2017","1.0","6","297"
"9856253","No57, Entire house, Romford, EastLondon","36866779","Daniel","Havering","51.57222761","0.188905816","Entire home/apt","80","2","13","27/11/2016","1.12","1","191"
"1467168","Urban space close to countryside","7494547","Timothy","Havering","51.60030279","0.247547729","Private room","57","1","0","","-1.0","1","365"
"550726","Paraympic Purple / Turquoise Rooms","2706724","Cibele","Havering","51.60860346","0.240831959","Private room","40","2","0","","-1.0","1","0"
"13003195","Entire 3 bedroom house in Romford, East London","16229910","Sophia Maria","Havering","51.60551896","0.162975804","Entire home/apt","90","14","0","","-1.0","1","145"
"594569","Single room £20night/125wk/450month","2701693","Jutta","Havering","51.57959715","0.168095077","Private room","16","1","22","15/01/2017","0.56","2","236"
"16806388","LONDON TURPIN 1BED FLAT, SLEEPS 2-5.","91720968","Kouami","Havering","51.60413384","0.159432328","Entire home/apt","60","4","0","","-1.0","28","179"
"17190308","Spacious home -luxury & convenience","7900506","Amaar","Havering","51.57941634","0.207305395","Private room","35","1","0","","-1.0","1","151"
"11943438","Good location to romford mall","63764894","Zito","Havering","51.57607369","0.178550881","Private room","25","1","1","01/04/2016","0.09","1","365"
"14334207","ROOMS IN A COMFORTABLE HOME","87753383","Angeline","Havering","51.60112994","0.237742737","Private room","30","3","1","22/12/2016","0.41","3","364"
"13139496","confortable maison avec jardin","73226668","Felicienne","Havering","51.58585277","0.210257896","Entire home/apt","80","3","2","02/08/2016","0.22","1","364"
"15237384","Rm in Romford near train stat","96870203","Don","Havering","51.58245379","0.189488028","Private room","22","2","10","13/02/2017","1.99","1","319"
"12486508","relaxing boxroom,parking,wifi& near tube","65752173","Collette","Havering","51.54909335","0.207469969","Private room","23","2","7","05/01/2017","0.72","2","352"
"13929699","Cosy single  bed  in living room","78725514","Yordanka","Havering","51.5635262","0.160723056","Shared room","21","1","4","02/03/2017","0.57","3","89"
"15898137","Double room in Victorian house","103117330","Richard","Havering","51.5740114","0.167025929","Private room","19","5","4","22/12/2016","1.08","1","355"
"15243455","Cosy Double bedroom - Romford","12543981","Kay","Havering","51.57590577","0.185157338","Private room","48","2","0","","-1.0","1","360"
"14381319","GROVE ROAD LEYTONSTONE E11","88289283","Bill","Havering","51.60252644","0.227385861","Private room","30","3","1","29/10/2016","0.24","1","365"
"14462623","Lovely Double Room","53177692","Leonardo","Havering","51.55899491","0.185455394","Private room","40","2","1","30/01/2017","0.88","4","364"
"4108000","Elegant Double Room with En Suite","18830903","Lax","Havering","51.57327891","0.18050533","Private room","38","1","85","20/12/2016","2.84","2","276"
"16953183","Private home perfect for a family.","24458585","Hasnain","Havering","51.59633514","0.229639242","Entire home/apt","200","1","0","","-1.0","1","361"
"17351702","Morland House Apartments","113497192","Morland","Havering","51.57458593","0.185572068","Entire home/apt","100","2","0","","-1.0","6","173"
"5699825","Spacious family home","29553683","Grace","Havering","51.60636868","0.160705732","Entire home/apt","43","2","6","30/01/2017","0.27","1","360"
"17038869","Spacious double room","99521333","Madeleine","Havering","51.57347995","0.184793356","Private room","30","1","0","","-1.0","2","128"
"17038351","A Very big double room","99521333","Madeleine","Havering","51.57547352","0.185197014","Private room","30","1","0","","-1.0","2","128"
"16903832","Lovely, clean family home 3 mins walk from tube.","112834159","Christine","Havering","51.55073928","0.195765177","Private room","45","1","0","","-1.0","1","358"
"13230906","Twin room","2158444","Brigitte","Havering","51.54948022","0.191722226","Private room","40","1","1","04/01/2017","0.49","4","267"
